Nimeke,ISSN/NBN,"Digitoitu, avoin käyttö","Digitoitu, rajattu käyttö",Ilmestynyt vuosina,Digitointi-%,Niteitä,Sivuja,URL
Amerikan Suomalainen Työmies,fk32014,1903 - 1904,,1903 - 1904,100.00 %,42,204,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk32014
Amerikan Suometar,fk32015,1889 - 1890,,1889 - 1890,100.00 %,61,244,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk32015
Amerikan Suometar,fk16566,"1899, 1901 - 1923",1924,1899 - 1962,39.06 %,2217,17844,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk16566
Amerikan Työmies,fk20010394,1900,,1900,100.00 %,1,4,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk20010394
Amerikan Uutiset,fk32016,"1893 - 1899, 1908 - 1913",,1893 - 1913,61.90 %,799,6428,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk32016
Amerikan sanomat,fk32009,1899 - 1903,,1897 - 1903,71.43 %,116,836,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk32009
Amerikan sanomat,fk20209,,1959 - 1960,1959 - 1960,100.00 %,63,388,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk20209
Amerikan sanomat ja Suometar,fk32010,1904 - 1911,,1904 - 1913,80.00 %,67,182,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk32010
Amerikan suomalainen lehti,fk32008,1876,,1876,100.00 %,2,4,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk32008
Amerikan uutiset : the voice of Finnish Americans : poliittisesti itsenäinen uutislehti,0745-9971,,1982,1960 - 2025,1.52 %,53,619,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0745-9971
Ammatillisia ohjeita,fk20100503,1933 - 1936,,1933 - 1936,100.00 %,9,72,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100503
Ampiainen,fk00091,"1909 - 1923, 1926 - 1927",,1909 - 1927,89.47 %,352,3466,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00091
Ampiainen,fk00092,1933,,1933,100.00 %,3,44,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00092
Ampujain lehti : Suomen ampujain liiton äänenkannattaja,0001-1940,1927 - 1939,"1940 - 1941, 1943 - 1944",1927 - 1990,26.56 %,281,5548,https://digi.kansalliskirjasto.fi/aikakausi/titles/0001-1940
Angenäma sjelfswåld,fk00094,1783,,1783,100.00 %,24,96,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00094
Ankan,fk11035,,1958 - 1967,1958 - 1967,100.00 %,10,96,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk11035
Ankka,fk11022,"1926, 1931, 1936",,1926 - 1998,4.11 %,3,22,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk11022
Ankka,fk16236,,1943,1943 - 2025,1.20 %,1,36,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk16236
Ankka : Kansanvallan henkilökunnan joululehti,fk24973,1928 - 1930,,1928 - 1949,13.64 %,3,12,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk24973
Ankkapurha,0517-8398,1939,,1939 - 2025,1.15 %,1,194,https://digi.kansalliskirjasto.fi/aikakausi/titles/0517-8398
Anna,0355-3035,,"1978 - 1979, 1981 - 1983",1974 - 2025,9.62 %,170,16631,https://digi.kansalliskirjasto.fi/aikakausi/titles/0355-3035
Anno domini : kalender,fk36931,1907 - 1908,,1906 - 1907,100.00 %,2,480,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36931
Annons-Blad,1457-425X,1858 - 1859,,1858 - 1859,100.00 %,57,228,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-425X
Annonsbladet för Kimito Bygden,0782-7105,,1970 - 2015,1970 - 2025,82.14 %,2361,25212,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0782-7105
"Annonsbladet för Kimito, Dragsfjärd, Västanfjärd och Hitis",fk11010,1925 - 1949,1950 - 1970,1925 - 1970,100.00 %,2318,9740,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk11010
Annonsbladet för Kimitoön = Ilmoituslehti Kemiönsaaren asialla,2343-5380,,2016 - 2024,2016 - 2025,90.00 %,437,7936,https://digi.kansalliskirjasto.fi/sanomalehti/titles/2343-5380
Annonstaxa för Finland,fk20090708,1896 - 1915,,1896 - 1915,100.00 %,20,1352,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090708
Annonsörens handbok,fk20090716,1925 - 1927,,1925 - 1927,100.00 %,3,492,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090716
"Anteeksi, en kuullut",fk32291,1934 - 1935,,1934 - 1935,100.00 %,2,112,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk32291
Antero Vipunen : Laihian nuorisoseuran juhlajulkaisu,fk20090744,1900 - 1901,,1900 - 1901,100.00 %,2,22,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090744
Antroposofia : henkitieteellinen aikakauslehti,fk00095,"1922 - 1924, 1926 - 1935",,1922 - 1935,92.86 %,81,2420,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00095
Anzeiger der Finnisch-ugrischen Forschungen,1456-2308,"1901 - 1915, 1924 - 1925, 1927 - 1929, 1933 - 1935, 1937 - 1938","1940 - 1941, 1944",1901 - 1958,48.28 %,33,4558,https://digi.kansalliskirjasto.fi/aikakausi/titles/1456-2308
Apostolinen usko,fk20719,1910 - 1921,"1926, 1928, 1930, 1935 - 1939, 1941, 1945, 1947 - 1949, 1951 - 1956, 1958 - 1965",1939 - 1956,100.00 %,46,204,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20719
Appell,fk14939,1945 - 1949,1950 - 1969,1945 - 1969,100.00 %,1054,8414,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk14939
Apteekkikalenteri,0782-0216,"1928 - 1930, 1932, 1934, 1938",1944,1927 - 2025,7.07 %,7,2060,https://digi.kansalliskirjasto.fi/aikakausi/titles/0782-0216
Apu,0003-7184,1933 - 1939,"1940 - 1944, 1956, 1964",1933 - 1968,38.89 %,568,14777,https://digi.kansalliskirjasto.fi/aikakausi/titles/0003-7184
Apu,0355-3051,,1973 - 2011,1972 - 2025,72.22 %,1986,217408,https://digi.kansalliskirjasto.fi/aikakausi/titles/0355-3051
Ararat : Osuuskunta Ararat i.l:n äänenkannattaja,fk00096,1916,,1916,100.00 %,9,84,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00096
Arbetarbladet,fk10000,1919 - 1948,,1919 - 1948,100.00 %,4226,29732,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10000
Arbetarbladet,0789-8274,,1971 - 2009,1971 - 2009,100.00 %,3244,27544,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0789-8274
Arbetarbladet-Svenska Demokraten,fk10001,1949,1950 - 1958,1949 - 1958,100.00 %,1207,5482,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10001
Arbetaren,1458-0519,1887 - 1889,,1886 - 1889,75.00 %,104,418,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-0519
Arbetaren,1458-0527,1900 - 1907,,1900 - 1907,100.00 %,534,2136,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-0527
Arbetarnas Notisblad,fk10016,1918,,1918,100.00 %,32,86,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10016
Arbetarnas revolutionära centralråds meddelanden,fk20150085,1917,,1917,100.00 %,1,6,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk20150085
Arbetarns fickbok,f440164,1918,,1917,100.00 %,1,144,https://digi.kansalliskirjasto.fi/aikakausi/titles/f440164
Arbetartidningen Enhet : kommunisternas svenska tidning,0356-164X,,1973 - 1988,1974 - 1988,100.00 %,538,4438,https://digi.kansalliskirjasto.fi/sanomalehti/titles/0356-164X
Arbetet,fk10017,1908 - 1918,,1908 - 1918,100.00 %,763,4837,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk10017
Arbetets fest : fackföreningsfolkets festpublikation,fk24128,1938 - 1939,,1938 - 1939,100.00 %,2,72,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk24128
Arbetets fest : finska landsorganisations festpublikation,fk36036,1921 - 1924,,1921 - 1924,100.00 %,4,144,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36036
Arbetets jul,fk24976,1919 - 1924,,1919 - 1948,20.00 %,6,216,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk24976
Arbetets midsommar,fk34897,"1917, 1919 - 1920",,1917 - 1920,75.00 %,3,108,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34897
Arbetsgifvaren : månadsskrift,fk00098,1907 - 1918,,1907 - 1918,100.00 %,118,2486,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00098
Arbetsstatistisk tidskrift,fk00099,1907 - 1917,,1907 - 1917,100.00 %,59,5336,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00099
Arctos,0570-734X,1930 - 1931,,1930 - 2025,2.08 %,4,422,https://digi.kansalliskirjasto.fi/aikakausi/titles/0570-734X
Arena,fk00101,1916 - 1920,,1916 - 1920,100.00 %,28,2412,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00101
Argus,fk00103,1907 - 1911,,1907 - 1911,100.00 %,79,1080,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00103
Ariadne,fk27859,1924 - 1939,,1921 - 1938,88.89 %,16,362,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk27859
Arkadia-Töölö,fk00105,1929,,1929,100.00 %,13,52,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00105
Arkitekten,0782-789X,1903 - 1919,,1903 - 1919,100.00 %,137,6110,https://digi.kansalliskirjasto.fi/aikakausi/titles/0782-789X
Arkitekten : organ för Finlands arkitektförbund,fk20090627,1921 - 1939,1940 - 1944,1921 - 1951,77.42 %,254,10308,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090627
Arkkitehti,0783-3660,1921 - 1939,1940 - 1944,1921 - 2025,22.86 %,254,10342,https://digi.kansalliskirjasto.fi/aikakausi/titles/0783-3660
Armon sanoma : evankelisluterilaista maallikkotointa kannattava kuukauslehti,fk09515,1896 - 1897,,1896 - 1897,100.00 %,4,96,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09515
Armon sanomat,0356-0287,1922 - 1939,1940 - 1944,1904 - 2025,18.85 %,333,6397,https://digi.kansalliskirjasto.fi/aikakausi/titles/0356-0287
Armon uutiset : evankeelinen kuukausilehti,fk00109,1902 - 1904,,1902 - 1904,100.00 %,3,76,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00109
Armonsanoma,fk00110,1904 - 1911,,1904 - 1911,100.00 %,122,1970,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00110
Arpaviesti : Kansan pika-arpajaisten asiamiehille,fk00112,,1943 - 1946,1943 - 1946,100.00 %,22,198,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00112
Aseen kantaja : nuorten ihmisten lehti,fk34638,1921,,1921 - 1923,33.33 %,1,4,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34638
Asemamies,fk00116,1928 - 1939,1940 - 1944,1928 - 1944,100.00 %,30,1028,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00116
Asemies,fk00117,1937 - 1939,1940 - 1944,1937 - 1945,88.89 %,38,3210,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00117
Asemies : JR 62:n lehti,fk02740,,1940,1940,100.00 %,6,50,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02740
Aseveli : Puolustusministeriön sanomatoimiston julkaisu,fk27871,1939,1940,1939 - 1940,100.00 %,57,356,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk27871
Aseveli : maanpuolustajain lehti,fk00118,,1940 - 1945,1940 - 1945,100.00 %,261,3688,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00118
Aseveliviesti : Pohjois-Pohjanmaan asevelipiirin tiedonantolehti,fk00119,,1943 - 1945,1943 - 1945,100.00 %,14,56,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00119
Aseveljen joulu,fk24982,,1940 - 1944,1940 - 1944,100.00 %,5,240,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk24982
Aseveljen juhannus,fk24983,,"1942, 1944",1942 - 1944,66.67 %,2,84,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk24983
Asiakirjat : Valtiopäivät,0789-4201,1917 - 1919,,1873 - 1975,2.91 %,16,14640,https://digi.kansalliskirjasto.fi/aikakausi/titles/0789-4201
Astorian sanomat : the only independent Finnish weekly newspaper published in the Western States,fk20220786,"1916, 1919",,1915 - 1919,40.00 %,25,206,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk20220786
Astra,0004-6094,1919 - 1939,1940 - 1947,1919 - 1992,39.19 %,529,13258,https://digi.kansalliskirjasto.fi/aikakausi/titles/0004-6094
Asunto-osakas : Helsingin asuntoyhtiöiden ja asunnonomistajain yhdistyksen r.y. julkaisu,fk31670,"1933, 1936",,1933 - 1936,50.00 %,2,32,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk31670
Asuntokiinteistö : Suomen asuntokiinteistöliiton julkaisu,fk03939,1933 - 1939,1940 - 1944,1933 - 1952,60.00 %,121,4158,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03939
Asuttaja : asutustoiminnan äänenkannattaja Suomessa,fk00124,1918 - 1920,,1918 - 1920,100.00 %,10,186,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00124
Asutushallituksen julkaisuja,fk20090747,1928 - 1938,,1928 - 1938,100.00 %,13,842,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090747
Asutushallituksen tiedonantoja,fk34765,"1918, 1921 - 1922, 1924, 1926",,1918 - 1921,100.00 %,10,912,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34765
Ateneum,fk00125,1898 - 1903,,1898 - 1903,100.00 %,34,3092,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00125
Athlos,fk01481,1923 - 1925,,1923 - 1925,100.00 %,28,890,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk01481
Auk,fk20100450,1935,,1935 - 1937,33.33 %,1,68,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100450
Aunuksen joulu / III/KTR 5,fk20220824,,1941,1941,100.00 %,1,11,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20220824
Aura,1458-0535,1880 - 1896,,1880 - 1896,100.00 %,4613,20213,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-0535
Aura,fk34461,1914 - 1923,,1921 - 1923,100.00 %,105,2240,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34461
Aura : Etelä-Suomen maatalousliite,fk36463,1905,,1905,100.00 %,7,56,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36463
Aura : Vakuutusyhdistys Auran asiamieslehti,fk02962,1927 - 1939,1940 - 1944,1927 - 1957,58.06 %,100,2058,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02962
Auran joulu : joululukemista Varsinais-Suomen kodeille,fk20100488,1931,,1931,100.00 %,1,56,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20100488
Auran viesti,fk00129,,1942 - 1944,1942 - 1949,37.50 %,19,88,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00129
Auranmaan Viikkolehti,1455-920X,,2017 - 2024,1998 - 2025,28.57 %,776,14148,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1455-920X
Auris,fk00131,1938 - 1939,,1938 - 1939,100.00 %,7,60,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00131
Aurora,fk00132,1922,,1922,100.00 %,3,100,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00132
Aurora news : America first,fk20110112,,1941,1929 - 1942,7.14 %,18,98,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20110112
Auta itseäsi : lehti osuuskauppoja varten,fk00133,1905 - 1906,,1905 - 1906,100.00 %,39,328,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00133
Auto,fk02968,1930 - 1939,1940 - 1944,1932 - 1965,44.12 %,87,1626,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02968
Autoilija,fk00135,1927 - 1939,,1927 - 1939,100.00 %,109,2776,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00135
Autoilijan uutiset,fk00136,1931 - 1939,,1931 - 1939,100.00 %,71,1096,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00136
Autokorjaamo : Suomen autokorjaamoiden liiton r.y. ammatillis-taloudellinen julkaisu,fk00138,1934 - 1936,,1934 - 1936,100.00 %,14,360,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00138
Automies,0356-018X,1930 - 1939,,1930 - 1995,15.15 %,35,452,https://digi.kansalliskirjasto.fi/aikakausi/titles/0356-018X
Automme ja me : autolle ja autoilulle omistettu aikakauslehti,fk00139,1935 - 1939,,1935 - 1939,100.00 %,29,522,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00139
Autonomistajan käsikirja,fk24154,1935 - 1939,,1935 - 1949,33.33 %,5,872,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk24154
Autotekniikka : Suomen autoteknikkojen yhdistyksen ja Suomen autokorjaamojen liiton virallinen äänenkannattaja,fk03932,1933 - 1936,,1933 - 1936,100.00 %,42,1212,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk03932
Autoteollisuus,fk02971,1928 - 1929,,1928 - 1929,100.00 %,12,84,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02971
Auttaja : kristillismielinen suomenkielinen uutislehti Amerikassa,fk11033,1906 - 1923,1965 - 1967,1920 - 1967,43.75 %,703,5470,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk11033
Autuus pakanoille : Suomen luterilaisen evankeliumiyhdistyksen lähetyslehti,fk00140,1906 - 1939,1940 - 1944,1906 - 1945,97.50 %,498,7708,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00140
Avustaja,fk00141,1921 - 1931,,1921 - 1931,100.00 %,53,500,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00141
Badkaret,fk20050001,1896,,1896,100.00 %,1,8,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20050001
Balder : opartisk nykterhetstidning för alla,fk00142,1895 - 1910,,1895 - 1910,100.00 %,228,1952,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00142
Barn och ungdom : nordisk social-pedagogisk tidsskrift,fk00143,1922 - 1932,,1922 - 1932,100.00 %,25,1516,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00143
Barnavännen : illustrerad tidning för barnen,0356-066X,1890 - 1939,1940 - 1944,1906 - 2025,45.83 %,645,5516,https://digi.kansalliskirjasto.fi/aikakausi/titles/0356-066X
Barnens glädje : illustrerad veckotidning för söndagsskolan och hemmet,fk02973,"1922, 1924 - 1929, 1931 - 1938",1940 - 1944,1922 - 1970,40.82 %,582,3136,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk02973
Barnens jul,fk980147,1894 - 1897,,1894 - 1897,100.00 %,4,98,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk980147
Barnens jul,fk33206,"1920 - 1925, 1928",,1920 - 1928,77.78 %,7,124,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk33206
Barnens jultidning,fk34899,1921,,1921,100.00 %,1,12,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk34899
Barnens jultidning : illustrerad jultidning för barn,fk36936,1914 - 1915,,1914 - 1915,100.00 %,2,24,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk36936
Barnens missionstidning,fk00144,1904 - 1939,,1904 - 1939,100.00 %,386,3352,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00144
Barnens söndagsblad,fk09606,1896 - 1902,,1896 - 1902,100.00 %,79,356,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09606
Barnens söndagsskoleblad,fk09607,1903 - 1939,1940 - 1944,1903 - 1954,80.77 %,720,4804,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk09607
Barnens tidning,fk00145,1934 - 1935,,1934 - 1935,100.00 %,16,340,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00145
Barnkupan : tidning för söndagsskolan och barnen i hemmet,fk00146,1923 - 1925,,1923 - 1925,100.00 %,46,384,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00146
Barnvännen,fk00147,1862 - 1863,,1500 - 1863,0.55 %,24,200,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00147
Barnvännen,fk00148,1874 - 1878,,1500 - 1878,1.32 %,60,480,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00148
Barometern,1458-0551,1861,,1861,100.00 %,18,138,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1458-0551
Befolkningsskyddsarbetet i Finland : Finlands gasskyddsorganisations publikation,fk00149,1937 - 1939,1940 - 1941,1937 - 1941,100.00 %,8,284,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00149
Bensiinin-kuluttajain autotalous,fk00152,1932 - 1939,1940,1932 - 1940,100.00 %,36,840,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00152
Betania : aikakauskirja uskonelämän ja -toiminnan edistämiseksi,fk00153,1903 - 1925,,1903 - 1925,100.00 %,223,4240,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00153
Betania : tidskrift för kristen tro och verksamhet,fk00154,1903 - 1925,,1903 - 1925,100.00 %,221,4224,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00154
Betlehemin tähti : Nuorten naisten kristillisen yhdistyksen julkaisema joululehti,fk20729,,1940 - 1944,1904 - 1957,9.26 %,5,148,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20729
Bibliophilos : kirjallisuudenkerääjäin äänenkannattaja,0355-1385,,1942 - 1944,1942 - 2025,3.57 %,11,200,https://digi.kansalliskirjasto.fi/aikakausi/titles/0355-1385
Biblioteksbladet,fk00156,1912 - 1914,,1912 - 1914,100.00 %,7,112,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00156
Biet : tidskrift för Finlands landthushållning,fk00157,1880 - 1898,,1880 - 1898,100.00 %,168,8135,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00157
Bihang till Brömsen,fk20090224,1892,,1892,100.00 %,1,4,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090224
Bio,fk00158,1910,,1910,100.00 %,4,32,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00158
Bio,fk00159,1916,,1916,100.00 %,21,252,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00159
Biograafilehti,fk00160,1915,,1915,100.00 %,14,223,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00160
Biograftidning,fk00161,1915,,1915,100.00 %,14,224,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00161
Björneborg,1457-4284,1865 - 1873,,1865 - 1873,100.00 %,392,1596,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4284
Björneborgs Tidning,1457-4276,1860 - 1865,,1860 - 1865,100.00 %,254,1023,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4276
Björneborgs Tidning,1457-4292,1872 - 1949,1950 - 1965,1872 - 1965,100.00 %,9749,38794,https://digi.kansalliskirjasto.fi/sanomalehti/titles/1457-4292
"Björneborgs stads kommunal-, adress- och annonskalender = Porin kaupungin kunnallis-, osoite- ja ilmoituskalenteri",fk980483,"1886, 1888, 1891, 1896, 1901, 1906, 1908",,1886 - 1909,29.17 %,7,842,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk980483
Bladet ur munnen : officiellt organ för seglarskämt och -satir m. m,fk20090225,1922,,1922,100.00 %,1,4,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk20090225
Blajmomman : skämttidning publicerad av Hangö segelförening,fk20223,,1959,1959,100.00 %,1,8,https://digi.kansalliskirjasto.fi/sanomalehti/titles/fk20223
Blindes vägledare,fk16701,,1956 - 1963,1956 - 2025,11.43 %,8,537,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk16701
Blinkfyren,fk00162,1924 - 1939,,1924 - 1939,100.00 %,46,1056,https://digi.kansalliskirjasto.fi/aikakausi/titles/fk00162
